
akismet-stable | Privacy | गोपनीयता
buddypress | The uploaded file was only partially uploaded. | अपलोड केलेल्या फाईलमध्ये फक्त अंशतः अपलोड केली होती.
buddypress | General | सामान्य
buddypress | Lead Developer | आघाडी विकसक
buddypress | Project Leaders | प्रकल्पाचे नेते
buddypress | Credits | क्रेडिट
buddypress | Change | बदला
buddypress | Descending | उतरत्या क्रमाने
buddypress | Ascending | चढत्या क्रमाने
buddypress | Custom | सानुकूल
buddypress | Sort Order: | क्रमाची क्रमवारी लावा:
buddypress | Description | वर्णन
buddypress | Name | नाव
buddypress | %1$s (%2$s) | %1$s (%2$s)
buddypress | Name | नाव
buddypress | Privacy | गोपनीयता
buddypress | Settings | सेटिंग्स
buddypress | Toolbar | टूलबार
buddypress | Must-Use <span class="count">(%s)</span> | वापरलंच पाहिजे <span class="count">(%s)</span>
buddypress | Inactive <span class="count">(%s)</span> | निष्क्रिय <span class="count">(%s)</span>
buddypress | Active <span class="count">(%s)</span> | सक्रिय <span class="count">(%s)</span>
buddypress | Select %s | निवडा %s
buddypress | Capabilities | क्षमता
buddypress | %s was successfully deleted. | %s यशस्वीरीत्या हटविले गेले
buddypress | Profile picture | परिचय चित्र
buddypress | Link | लिंक
buddypress | Spam <span class="count">(%s)</span> | स्पॅम <span class="count">(%s)</span>
buddypress | Search results for &#8220;%s&#8221; | &#8220;%s&#8221; च्या शोधाचे निकाल
buddypress | &hellip; | &hellip;
buddypress | right now | ताबडतोब
buddypress | Edit comment | टिप्पणी संपादित करा
buddypress | Create Site | साईट तयार करा
buddypress | Site Name: | साईटच नाव:
buddypress | Site Domain: | साईट डोमेन
buddypress | My Sites | माझ्या साईट्स
buddypress | Search for: | शोध घ्या यांचा:
buddypress | Updates | अपडेटस्
buddypress | Pages:  | पृष्ठे:
buddypress | Edit My Profile | माझे प्रोफाइल संपादित करा
buddypress | <strong>ERROR</strong>: Your account has been marked as a spammer. | <strong>त्रुटी</strong>: आपले खाते स्पॅमर म्हणून चिन्हांकित केले आहे.
buddypress | Update | अपडेट
buddypress | Leave a reply | प्रतिक्रिया व्यक्त करा
buddypress | Password Lost and Found | पासवर्ड हरवले आणि सापडले
buddypress | %1$s at %2$s | %1$s येथे %2$s
buddypress | Actions | क्रिया
buddypress | Remember Me | माझी आठवण ठेवा
buddypress | Search Results | शोध परिणाम
buddypress | Confirm Password | संकेतशब्द कन्फर्म करा
buddypress | Email Address | ई-मेल अॅड्रेस
buddypress | Clear | स्पष्ट
buddypress | To: | च्यापर्यत:
buddypress | From: | पासून:
buddypress | Links | लिंक्स
buddypress | Finish | समाप्त
buddypress | (required) | (आवश्यक)
buddypress | comments | टिप्पण्या
buddypress | Your comment is awaiting moderation. | आपली टिप्पणी मंजुरीची प्रतीक्षा करत आहे.
buddypress | Content: | सामग्री:
buddypress | Submit | सबमिट
buddypress | Tags:  | टॅग्स:
buddypress | RSS | आरएसएस
buddypress | Delete Selected | निवडलेले हटवा
buddypress | Site URL | साइट युआरअल
buddypress | Log in | लॉग ईन
buddypress | Remove | काढा
buddypress | Page %s | पृष्ठ %s
buddypress | Administrator | प्रशासन
buddypress | F j, Y | F j, Y
buddypress | June | जून
buddypress | &raquo; | &raquo;
buddypress | &laquo; | &laquo;
buddypress | Deactivate | निष्क्रिय
buddypress | Date format | तारीख स्वरूप
buddypress | Registered | नोंदणी झाली
buddypress | Tools | टूल्स
buddypress | Users | युझर्स
buddypress | Month | महिना 
buddypress | %s ago | %s पूर्वी
buddypress | Visit Site | साईट ला भेट द्या
buddypress | Page not found | पृष्ठ सापडले नाही
buddypress | Sorry, that email address is already used! | क्षमस्व, हा इमेल अड्रेस आधी वापरला आहे
buddypress | Sorry, that username already exists! | क्षमस्व, हा वापरकर्ता अस्थित्वात नाही.
buddypress | Sorry, that email address is not allowed! | माफ करा, हा ई-मेल पत्ता वापरण्याची अनुमती नाही!
buddypress | Sorry, usernames must have letters too! | क्षमस्व , वापरकर्ता नावामध्ये अक्षरे पण असणे आवश्यक आहे!
buddypress | Popular | लोकप्रिय
buddypress | Active | सक्रिय
buddypress | Manage Comments | टिप्पण्या व्यवस्थापित करा
buddypress | Visit | भेट
buddypress | New Password | नवीन पासवर्ड
buddypress | Repeat New Password | नवीन पासवर्ड पुन्हा द्या
buddypress | Save Changes | बदल जतन करा
buddypress | BuddyPress | बडिप्रेस
buddypress | General Settings | सामान्य सेटिंग्ज
buddypress | Thumbnail | थम्बनेल
buddypress | Log In | लॉग ईन
buddypress | Log Out | लॉग आऊट
buddypress | Dashboard | डॅशबोर्ड
buddypress | Post | लेख
buddypress | Spam | स्पॅम
buddypress | Delete | खोडून टाकणे
buddypress | Reply | उत्तर
buddypress | Spam | स्पॅम
buddypress | Delete | खोडून टाकणे
buddypress | Comment | टिपणी
buddypress | Comment | टिपणी
buddypress | Change | बदला
buddypress | Activate | सक्रिय करा
buddypress | Close | बंद
buddypress | Apply | लागू करा
buddypress | Search | शोधा
buddypress | Search | शोधा
buddypress | Comment | टिपणी
buddypress | Cancel | रद्द करा
buddypress | Save | जतन करा
buddypress | Crop Image | इमेज क्रॉप करा
buddypress | Year | वर्ष
buddypress | Month | महिना 
buddypress | Day | दिवस
buddypress | Four columns | चार स्तंभ
buddypress | Three columns | तीन स्तंभ
buddypress | Two columns | दोन स्तंभ
buddypress | One column | एक स्तंभ
buddypress | All Sites | सर्व साइटस्
buddypress | Select bulk action | निवडा क्रिया मोठ्या प्रमाणात 
buddypress | Content | मजकूर
buddypress | Subject | विषय
buddypress | Release Lead | प्रकाशन लीड
buddypress | [deleted] | [हटवलेले]
buddypress | Filter users list | फिल्टर केलेल्या वापरकर्त्यांना यादी
buddypress | Email | ईमेल
buddypress | Add New | नवीन लिंक
buddypress | Background color | पार्श्वभूमीचा रंग
buddypress | Text color | मजकूर रंग
buddypress | Select %s | निवडा %s
buddypress | Activity | अॅक्टिवेटी
buddypress | Submitted on: %s | %s : वर सबमिट
buddypress | Search Results | शोध परिणाम
buddypress | Leave a reply | प्रतिक्रिया व्यक्त करा
buddypress | Search for: | शोध घ्या यांचा:
buddypress | Links | लिंक्स
buddypress | Your comment is awaiting moderation. | आपली टिप्पणी मंजुरीची प्रतीक्षा करत आहे.
buddypress | Edit comment | टिप्पणी संपादित करा
buddypress | Pages:  | पृष्ठे:
buddypress | Type | टाईप
buddypress | Description | वर्णन
buddypress | Submit | सबमिट
buddypress | Descending | उतरत्या क्रमाने
buddypress | Ascending | चढत्या क्रमाने
buddypress | Custom | सानुकूल
buddypress | Sort Order: | क्रमाची क्रमवारी लावा:
buddypress | URL | URL
buddypress | Clear | स्पष्ट
buddypress | Profile | प्रोफाईल
buddypress | Edit | संपादन
buddypress | View | पहा
buddypress | Profile | प्रोफाईल
buddypress | Edit | संपादन
buddypress | View | पहा
buddypress | Profile | प्रोफाईल
buddypress | comments | टिप्पण्या
buddypress | Password Lost and Found | पासवर्ड हरवले आणि सापडले
buddypress | To: | च्यापर्यत:
buddypress | From: | पासून:
buddypress | Select all | सर्व निवडा
buddypress | Change | बदला
buddypress | Confirm Password | संकेतशब्द कन्फर्म करा
buddypress | Email Address | ई-मेल अॅड्रेस
buddypress | (required) | (आवश्यक)
buddypress | Finish | समाप्त
buddypress | Content: | सामग्री:
buddypress | RSS | आरएसएस
buddypress | Capabilities | क्षमता
buddypress | %s was successfully deleted. | %s यशस्वीरीत्या हटविले गेले
buddypress | Select Bulk Action | निवडा क्रिया मोठ्या प्रमाणात 
buddypress | Delete Selected | निवडलेले हटवा
buddypress | All | सर्व
buddypress | View | पहा
buddypress | Profile | प्रोफाईल
buddypress | That username is already activated. | हा वापरकर्ता आधीच सक्रिय आहे.
buddypress | Could not create user | वापरकर्ता बनवू नाही शकत.
buddypress | The site is already active. | साइट आधीपासूनच सक्रिय आहे.
buddypress | The user is already active. | वापरकर्ता आधीपासूनच सक्रिय आहे.
buddypress | Invalid activation key. | अवैध सक्रियन कळ
buddypress | Sorry, that username already exists! | क्षमस्व, हा वापरकर्ता अस्थित्वात नाही.
buddypress | Sorry, usernames must have letters too! | क्षमस्व , वापरकर्ता नावामध्ये अक्षरे पण असणे आवश्यक आहे!
buddypress | Sorry, that email address is already used! | क्षमस्व, हा इमेल अड्रेस आधी वापरला आहे
buddypress | Sorry, that email address is not allowed! | माफ करा, हा ई-मेल पत्ता वापरण्याची अनुमती नाही!
buddypress | <strong>ERROR</strong>: Your account has been marked as a spammer. | <strong>त्रुटी</strong>: आपले खाते स्पॅमर म्हणून चिन्हांकित केले आहे.
buddypress | Edit My Profile | माझे प्रोफाइल संपादित करा
buddypress | Confirm | खा‍त्री करा 
buddypress | Update Profile | प्रोफाइल सुधारणा करा
buddypress | Add New | नवीन लिंक
buddypress | &larr; Back to Users | &larr; वापरकर्तेकडे परत
buddypress | Edit User | वापरकरर्ता संपादित करा
buddypress | Profile updated. | प्रोफाइल अपडेट केले.
buddypress | Email | ईमेल
buddypress | Activate | सक्रिय करा
buddypress | Details | तपशील
buddypress | Settings | सेटिंग्स
buddypress | Details | तपशील
buddypress | Description | वर्णन
buddypress | Name | नाव
buddypress | %1$s (%2$s) | %1$s (%2$s)
buddypress | Actions | क्रिया
buddypress | Name | नाव
buddypress | Privacy | गोपनीयता
buddypress | Permalink: | परमालिंक:
buddypress | Settings | सेटिंग्स
buddypress | Save | जतन करा
buddypress | Support Forums | सपोर्ट फोरम
buddypress | Popular | लोकप्रिय
buddypress | Active | सक्रिय
buddypress | Site URL | साइट युआरअल
buddypress | Tags:  | टॅग्स:
buddypress | Log in | लॉग ईन
buddypress | Remove | काढा
buddypress | Administrator | प्रशासन
buddypress | &raquo; | &raquo;
buddypress | &laquo; | &laquo;
buddypress | Bulk Actions | मोठ्या प्रमाणात क्रिया
buddypress | Deactivate | निष्क्रिय
buddypress | General Settings | सामान्य सेटिंग्ज
buddypress | Date format | तारीख स्वरूप
buddypress | Save Changes | बदल जतन करा
buddypress | Registered | नोंदणी झाली
buddypress | Repeat New Password | नवीन पासवर्ड पुन्हा द्या
buddypress | New Password | नवीन पासवर्ड
buddypress | General | सामान्य
buddypress | Page not found | पृष्ठ सापडले नाही
buddypress | Visit | भेट
buddypress | Manage Comments | टिप्पण्या व्यवस्थापित करा
buddypress | File upload stopped by extension. | विस्ताराणे फाइल अपलोड थांबविले.
buddypress | Failed to write file to disk. | डिस्कवर फाइल राइट करण्यास अयशस्वी.
buddypress | Missing a temporary folder. | तात्पुरता फोल्डर गहाळ.
buddypress | No file was uploaded. | कोणतीही फाइल अपलोड केलेली नाही 
buddypress | The uploaded file was only partially uploaded. | अपलोड केलेल्या फाईलमध्ये फक्त अंशतः अपलोड केली होती.
buddypress | Remember Me | माझी आठवण ठेवा
buddypress | Posts | टिप्पणी
buddypress | %1$s at %2$s | %1$s येथे %2$s
buddypress | Log In | लॉग ईन
buddypress | %s week | %s आठवडा
buddypress | %s month | %s महिना
buddypress | %s year | %s वर्ष
buddypress | %s ago | %s पूर्वी
buddypress | right now | ताबडतोब
buddypress | Register | नोंदणी
buddypress | Activate | सक्रिय करा
buddypress | Sites | साईटस्
buddypress | Activity | अॅक्टिवेटी
buddypress | Page %s | पृष्ठ %s
buddypress | Upload | अपलोड
buddypress | &#8220;%s&#8221; has failed to upload. | &#8220;%s&#8221; अपलोड अयशस्वी झाले आहे.
buddypress | Crunching&hellip; | करण्चींग आणि हेल्लीप 
buddypress | Dismiss | घालवा
buddypress | Upload stopped. | अपलोड करणे थांबविले.
buddypress | File canceled. | फाइल रद्द केली.
buddypress | Security error. | सुरक्षितता त्रुटी.
buddypress | %s exceeds the maximum upload size for the multi-file uploader when used in your browser. | ब्राउझर वापरून मल्टी-फाइल अपलोडरची जास्तीत जास्त अपलोड आकार मर्यादा %s  ने ओलांडली आहे. 
buddypress | Please try uploading this file with the %1$sbrowser uploader%2$s. | ही फाइल अपलोड करण्याचा प्रयत्न करा %1$s ब्राउझर अपलोडर चा वापर करा %2$s.
buddypress | You may only upload 1 file. | तुम्ही फक्त 1 च फाइल अपलोड करू शकता.
buddypress | There was a configuration error. Please contact the server administrator. | कॉन्फिगरेशन त्रुटी. सर्व्हर प्रशासकाशी संपर्क साधा .
buddypress | This is larger than the maximum size. Please try another. | या कमाल आकार पेक्षा मोठा आहे. कृपया पुन्हा प्रयत्न करा.
buddypress | Memory exceeded. Please try another smaller file. | मेमरी ओलांडली. कृपया लहान फाइल प्रयत्न करा.
buddypress | This file is not an image. Please try another. | ही फाइल प्रतिमा नाही. कृपया पुन्हा प्रयत्न करा.
buddypress | This file type is not allowed. Please try another. | या फाइल प्रकाराला परवानगी नाही. आणखी एक प्रयत्न करा.
buddypress | %s exceeds the maximum upload size for this site. | %s या साइटसाठी जास्तीत जास्त अपलोड आकार मर्यादा ओलांडली आहे.
buddypress | You have attempted to queue too many files. | तुम्ही रांगेत खूप फाइल्स ठेवल्या आहेत
buddypress | For more information, see <a href="%s">the release notes</a>. | अधिक माहितीसाठी, <a href="%s"> रिलीज केलेल्या नोटस </a> पहा.
buddypress | <strong>Version %1$s</strong> addressed some security issues and fixed %2$s bug. | <strong> आवृत्ती %1$s </strong> काही सुरक्षितता समस्या आणि निश्चित %2$s बग संबोधित केले.
buddypress | <strong>Version %1$s</strong> addressed a security issue and fixed %2$s bug. | असामान्य: <strong> आवृत्ती%1$s </strong> सुरक्षा समस्येचे निराकरण आणि %2$s बगचे निर्धारण.
buddypress | <strong>Version %1$s</strong> addressed %2$s bug. | एकवचनी: <strong>आवृत्ती %1$s</strong>%2$s बग संबोधित केले.
buddypress | Maintenance and Security Release | देखभाल व सुरक्षा प्रकाशन
buddypress | Security Release | सुरक्षा प्रकाशन
buddypress | Maintenance Release | देखभाल प्रकाशन
buddypress | Credits | क्रेडिट
buddypress | Core Developer | कोर विकसक
buddypress | Lead Developer | आघाडी विकसक
buddypress | Project Leaders | प्रकल्पाचे नेते
buddypress | Available Tools | उपलब्ध साधनसामुग्री
buddypress | Tools | टूल्स
buddypress | General | सामान्य
buddypress | Add to Menu | मेनू जोडा
buddypress | BuddyPress | बडिप्रेस
buddypress | Must-Use <span class="count">(%s)</span> | वापरलंच पाहिजे <span class="count">(%s)</span>
buddypress | Inactive <span class="count">(%s)</span> | निष्क्रिय <span class="count">(%s)</span>
buddypress | Active <span class="count">(%s)</span> | सक्रिय <span class="count">(%s)</span>
buddypress | Title: | शीर्षक:
buddypress | %s site | %s साइट
buddypress | Visit Site | साईट ला भेट द्या
buddypress | Site Domain: | साईट डोमेन
buddypress | Site Name: | साईटच नाव:
buddypress | Sites | साईटस्
buddypress | Profile picture | परिचय चित्र
buddypress | Activity | अॅक्टिवेटी
buddypress | Activity | अॅक्टिवेटी
buddypress | Updates | अपडेटस्
buddypress | &hellip; | &hellip;
buddypress | Activity | अॅक्टिवेटी
buddypress | Spam <span class="count">(%s)</span> | स्पॅम <span class="count">(%s)</span>
buddypress | Search results for &#8220;%s&#8221; | &#8220;%s&#8221; च्या शोधाचे निकाल
buddypress | Activity | अॅक्टिवेटी
buddypress | Link | लिंक
buddypress | Update | अपडेट
contact-form-7 | Support Forums | सपोर्ट फोरम
contact-form-7 | Translations | अनुवाद
contact-form-7 | Support Forums | सपोर्ट फोरम
contact-form-7 | Translations | अनुवाद
gutenberg | Medium | मध्यम
gutenberg | Paste URL or type to search | URL पेस्ट करा किंवा शोधण्यासाठी टाइप करा
gutenberg | Take Over | कार्यभार हाती घ्या
gutenberg | All Posts | सर्व पोस्ट
gutenberg | View | पहा
gutenberg | Media Settings | मिडिया सेटिंग्स
gutenberg | Insert Media | मीडिया घाला
gutenberg | Import | आयात
gutenberg | Title | शीर्षक
gutenberg | View Posts | पोस्ट्स पहा
gutenberg | Remove Poster Image | पोस्टर फोटो कडून टाका
gutenberg | Select Poster Image | पोस्टर इमेज निवडा
gutenberg | Poster Image | पोस्टर प्रतिमा
gutenberg | blockquote | ब्लॉककोट
gutenberg | Keyboard Shortcuts | कीबोर्ड शॉर्टकट्स
gutenberg | Galleries | गॅलरी
gutenberg | URL to the object. | ऑब्जेक्टची युआरएल(URL)
gutenberg | The title for the object. | ऑब्जेक्टसाठीचे शीर्षक.
gutenberg | Unique identifier for the object. | ऑब्जेक्ट अद्वितीय अभिज्ञापक
gutenberg | The page number requested is larger than the number of pages available. | तुम्ही मागितलेले पान नंबर हे उपलब्ध पृष्ठांपेक्षा जास्त आहे.
gutenberg | recent comments | अलीकडील टिप्पण्या
gutenberg | Auto | स्वयं
gutenberg | Preload | प्रिलोड
gutenberg | Display as Dropdown | ड्रॉपडाउन सारखं दाखवा
gutenberg | Show Post Counts | पोस्ट संख्या दाखवा
gutenberg | %1$s on %2$s | %1$s च्यावर %2$s
gutenberg | Select Post | पोस्ट निवडा
gutenberg | Select Week | आठवडा  निवडा 
gutenberg | Select Day | दिवस निवडा
gutenberg | Select Month | महिना निवडा
gutenberg | Select Year | वर्ष  निवडा 
gutenberg | Archives | संग्रहण
gutenberg | Large | मोठा
gutenberg | Link URL | लिंक URL
gutenberg | Custom URL | Custom URL
gutenberg | Link To | Link To
gutenberg | File | फाईल
gutenberg | Column | रकाना
gutenberg | Loop | लूप
gutenberg | Autoplay | ऑटोप्ले
gutenberg | Close dialog | संवाद बंद करा
gutenberg | Sorry, this file type is not permitted for security reasons. | क्षमस्व, सुरक्षा कारणांमुळे या फाइल टाईप साठी परवानगी नाही.
gutenberg | Replace image | प्रतिमा बदला
gutenberg | Remove image | इमेज काढा
gutenberg | Invalid item ID. | अवैध आयटम आयडी.
gutenberg | The ID for the parent of the object. | हा आयडी आहे पॅरेण्ट च्या ऑब्जेक्ट चा.
gutenberg | Most Used | सर्वाधिक वापरलेले
gutenberg | No results found. | परिणाम आढळले नाहीत.
gutenberg | Name: | नाव:
gutenberg | Change Permalinks | प्रचिती बदला
gutenberg | Page break | पृष्ठ खंड
gutenberg | pagination | अंक
gutenberg | next page | पुढील
gutenberg | Image Size | इमेज आकार
gutenberg | Height | उंची
gutenberg | Width | रुंदी
gutenberg | Media Library | मीडिया लायब्ररी
gutenberg | Advanced | प्रगत
gutenberg | Scheduled | अनुसूचित
gutenberg | Plugins | प्लगिन्स
gutenberg | Custom Size | सानुकूल आकार
gutenberg | Preview | पूर्वावलोकन
gutenberg | View post | पोस्ट दृश्य
gutenberg | Headings | शीर्षक
gutenberg | Words | words
gutenberg | Public | सार्वजनिक
gutenberg | Password Protected | पासवर्डने संरक्षित
gutenberg | Private | खाजगी
gutenberg | Move to trash | ⁠⁠⁠ट्रॅशमध्ये हलवा
gutenberg | Parent Category | प्यारेन्ट कॅटेगरी
gutenberg | Add new category | नवीन कॅटेगरी जोडा
gutenberg | Tag | टॅग
gutenberg | Add New Tag | नवीन टॅग जोडा
gutenberg | Save Draft | मसुदा जतन करा
gutenberg | Visibility: | दृश्यमानता:
gutenberg | Published | प्रकाशित
gutenberg | Schedule | कार्यक्रम
gutenberg | Update | अपडेट
gutenberg | Submit for Review | पुनरावलोकनसाठी सबमिट करा
gutenberg | Updating… | अद्यायावत सुरु आहे...
gutenberg | Permalink: | परमालिंक:
gutenberg | Pending Review | पुनरावलोकन प्रलंबित
gutenberg | Chat | गप्पा
gutenberg | Status | स्थिती
gutenberg | Standard | स्टँडर्ड
gutenberg | Aside | बाजूला
gutenberg | Featured image | वैशिष्ट्यीकृत इमेज
gutenberg | Set featured image | वैशिष्ट्यीकृत इमेज सेट करा
gutenberg | Allow Comments | टिप्पणी परवानगी द्या
gutenberg | Default template | मुलभूत टेमप्लेट
gutenberg | Order | ऑर्डर
gutenberg | Saved | जतन केले
gutenberg | Embeds | एम्बेड्स
gutenberg | Blocks | ब्लॉक्स
gutenberg | Undo | पाठीमागे
gutenberg | Redo | पुन्हा करा
gutenberg | Move down | खाली सरकवा
gutenberg | Move up | वर सरकवा
gutenberg | Remove | काढा
gutenberg | Page Attributes | पृष्ठ(Page) गुणधर्म
gutenberg | Featured Image | वैशिष्ट्यीकृत इमेज
gutenberg | Tools | टूल्स
gutenberg | Editor | संपादक
gutenberg | Visual Editor | दृश्यमान संपादक
gutenberg | Editor Toolbar | संपादक साधनपट्टी
gutenberg | Settings | सेटिंग्स
gutenberg | Item added. | आयटम जोडला.
gutenberg | (opens in a new window) | (नवीन विंडोमधे उघडते)
gutenberg | Drop files to upload | अपलोड करण्यासाठी फायली ड्रॉप करा.
gutenberg | PM | pm
gutenberg | AM | am
gutenberg | (no title) | (शीर्षक नाही)
gutenberg | URL | URL
gutenberg | Submit | सबमिट
gutenberg | Close | बंद
gutenberg | Insert Link | लिंक टाका
gutenberg | Edit Link | लिंक एडीट करा
gutenberg | Link | लिंक
gutenberg | Strikethrough | मध्यरेखीत
gutenberg | Italic | ईटॅलीक
gutenberg | Bold | बोल्ड
gutenberg | Link added. | लिंक जोडली.
gutenberg | All | सर्व
gutenberg | Category | कॅटेगरी
gutenberg | Select | निवडा
gutenberg | Video | व्हिडिओ
gutenberg | Edit video | एडीट व्हिडीओ
gutenberg | Delete Column | रकाना हटवा
gutenberg | Delete Row | रो हटवा
gutenberg | Table | तक्ता
gutenberg | Quote | कोट
gutenberg | Preformatted | पूर्वस्वरूपित
gutenberg | text | मजकूर
gutenberg | Paragraph | परिच्छेद
gutenberg | numbered list | क्रमांकित यादी
gutenberg | recent posts | अलीकडील पोस्ट
gutenberg | No posts found. | कोणतीही पोस्ट सापडली नाहीत.
gutenberg | Grid View | ग्रिड व्युव
gutenberg | List View | सूची पहा
gutenberg | Image | इमेज
gutenberg | embed | एम्बेड
gutenberg | Custom HTML | कस्टम HTML
gutenberg | title | शीर्षक
gutenberg | images | प्रतिमा
gutenberg | Remove Image | इमेज काढा
gutenberg | None | काहीही नाही
gutenberg | Media File | मीडिया फाईल
gutenberg | Attachment Page | अटेचमेंट पृष्ठ
gutenberg | Gallery Settings | गॅलरी सेटिंग्ज
gutenberg | Gallery | गॅलरी
gutenberg | Edit Gallery | गॅलरी संपादन 
gutenberg | video | व्हिडिओ
gutenberg | audio | ऑडिओ
gutenberg | image | इमेज
gutenberg | blog | ब्लॉग
gutenberg | post | लेख
gutenberg | Edit image | इमेज मध्ये बदल
gutenberg | Columns | रकाने
gutenberg | %1$s (%2$s) | %1$s (%2$s)
gutenberg | Code | कोड
gutenberg | Categories | कॅटेगरी
gutenberg | Show Hierarchy | अनुक्रम दाखवा
gutenberg | Apply | लागू करा
gutenberg | Text Color | मजकूर रंग
gutenberg | Background Color | पार्श्वभूमीचा रंग
gutenberg | Edit | संपादन
gutenberg | Edit audio | ऑडीओ एडीट करा
gutenberg | Audio | ऑडिओ
gutenberg | Upload | अपलोड
gutenberg | Clear | स्पष्ट
gutenberg | Embed | एम्बेड
gutenberg | Widgets | विजेटस 
gutenberg | Formatting | स्वरूपण
gutenberg | Align right | अलाईन राईट
gutenberg | Align center | अलाईन सेंटर
gutenberg | Align left | डावीकडे संरेखित करा
gutenberg | Author | लेखक
gutenberg | Slug | स्लग
gutenberg | Comments | टिप्पण्या
gutenberg | Discussion | चर्चा
gutenberg | Custom Fields | सानुकूल फील्ड
gutenberg | Send Trackbacks | ट्रकबॅक पाठवा
gutenberg | Excerpt | उतारा
gutenberg | Publish | प्रकाशित
gutenberg | Metadata | मेटाडेटा
gutenberg | Save | जतन करा
gutenberg | Revisions | आवृत्या
gutenberg | Documentation | डोक्युमेंटशन
gutenberg | Feedback | अभिप्राय
gutenberg | Contributors | योगदानकर्ते
gutenberg | Blocks | ब्लॉक्स
gutenberg | Import | आयात
gutenberg | Title | शीर्षक
gutenberg | View Posts | पोस्ट्स पहा
gutenberg | Remove Poster Image | पोस्टर फोटो कडून टाका
gutenberg | Select Poster Image | पोस्टर इमेज निवडा
gutenberg | Poster Image | पोस्टर प्रतिमा
gutenberg | blockquote | ब्लॉककोट
gutenberg | Writing | लेखन
gutenberg | Keyboard Shortcuts | कीबोर्ड शॉर्टकट्स
gutenberg | Galleries | गॅलरी
gutenberg | URL to the object. | ऑब्जेक्टची युआरएल(URL)
gutenberg | The title for the object. | ऑब्जेक्टसाठीचे शीर्षक.
gutenberg | Unique identifier for the object. | ऑब्जेक्ट अद्वितीय अभिज्ञापक
gutenberg | The page number requested is larger than the number of pages available. | तुम्ही मागितलेले पान नंबर हे उपलब्ध पृष्ठांपेक्षा जास्त आहे.
gutenberg | M | सो 
gutenberg | S | र 
gutenberg | recent comments | अलीकडील टिप्पण्या
gutenberg | Auto | स्वयं
gutenberg | Preload | प्रिलोड
gutenberg | Display as Dropdown | ड्रॉपडाउन सारखं दाखवा
gutenberg | Show Post Counts | पोस्ट संख्या दाखवा
gutenberg | %1$s on %2$s | %1$s च्यावर %2$s
gutenberg | Select Post | पोस्ट निवडा
gutenberg | Select Week | आठवडा  निवडा 
gutenberg | Select Day | दिवस निवडा
gutenberg | Select Month | महिना निवडा
gutenberg | Select Year | वर्ष  निवडा 
gutenberg | Archives | संग्रहण
gutenberg | Large | मोठा
gutenberg | Link URL | लिंक URL
gutenberg | Custom URL | Custom URL
gutenberg | Link To | Link To
gutenberg | File | फाईल
gutenberg | Column | रकाना
gutenberg | Loop | लूप
gutenberg | Autoplay | ऑटोप्ले
gutenberg | Close dialog | संवाद बंद करा
gutenberg | Sorry, this file type is not permitted for security reasons. | क्षमस्व, सुरक्षा कारणांमुळे या फाइल टाईप साठी परवानगी नाही.
gutenberg | Replace image | प्रतिमा बदला
gutenberg | Remove image | इमेज काढा
gutenberg | Invalid item ID. | अवैध आयटम आयडी.
gutenberg | The ID for the parent of the object. | हा आयडी आहे पॅरेण्ट च्या ऑब्जेक्ट चा.
gutenberg | Most Used | सर्वाधिक वापरलेले
gutenberg | No results found. | परिणाम आढळले नाहीत.
gutenberg | Name: | नाव:
gutenberg | Change Permalinks | प्रचिती बदला
gutenberg | OK | ठीक
gutenberg | Page break | पृष्ठ खंड
gutenberg | pagination | अंक
gutenberg | next page | पुढील
gutenberg | Image Size | इमेज आकार
gutenberg | Height | उंची
gutenberg | Width | रुंदी
gutenberg | Media Library | मीडिया लायब्ररी
gutenberg | Advanced | प्रगत
gutenberg | Scheduled | अनुसूचित
gutenberg | Plugins | प्लगिन्स
gutenberg | Custom Size | सानुकूल आकार
gutenberg | Preview | पूर्वावलोकन
gutenberg | View post | पोस्ट दृश्य
gutenberg | Headings | शीर्षक
gutenberg | Words | words
gutenberg | Public | सार्वजनिक
gutenberg | Password Protected | पासवर्डने संरक्षित
gutenberg | Private | खाजगी
gutenberg | Move to trash | ⁠⁠⁠ट्रॅशमध्ये हलवा
gutenberg | Parent Category | प्यारेन्ट कॅटेगरी
gutenberg | Add new category | नवीन कॅटेगरी जोडा
gutenberg | Tag | टॅग
gutenberg | Add New Tag | नवीन टॅग जोडा
gutenberg | Save Draft | मसुदा जतन करा
gutenberg | Visibility: | दृश्यमानता:
gutenberg | Published | प्रकाशित
gutenberg | Schedule | कार्यक्रम
gutenberg | Update | अपडेट
gutenberg | Submit for Review | पुनरावलोकनसाठी सबमिट करा
gutenberg | Updating… | अद्यायावत सुरु आहे...
gutenberg | Permalink: | परमालिंक:
gutenberg | Pending Review | पुनरावलोकन प्रलंबित
gutenberg | Chat | गप्पा
gutenberg | Status | स्थिती
gutenberg | Standard | स्टँडर्ड
gutenberg | Aside | बाजूला
gutenberg | Featured image | वैशिष्ट्यीकृत इमेज
gutenberg | Set featured image | वैशिष्ट्यीकृत इमेज सेट करा
gutenberg | Allow Comments | टिप्पणी परवानगी द्या
gutenberg | Default template | मुलभूत टेमप्लेट
gutenberg | Order | ऑर्डर
gutenberg | Saved | जतन केले
gutenberg | Embeds | एम्बेड्स
gutenberg | Blocks | ब्लॉक्स
gutenberg | Undo | पाठीमागे
gutenberg | Redo | पुन्हा करा
gutenberg | Move down | खाली सरकवा
